SYNTHETIC DEMO DATA - NOT A REAL BANK STATEMENT

Transaction Date,Narration,Debit,Credit,Balance
2026-01-02,CHAI POINT,377.10,,16492.12
2026-01-03,GREENFIELD RESIDENCY RENT NEFT,18000.00,,-1507.88
2026-01-04,APNA KIRANA SUPERMARKET,2725.17,,-4233.05
2026-01-04,OLA CABS TRIP,245.99,,-4479.04
2026-01-05,CAFE COFFEE DAY,1274.90,,-5753.94
2026-01-06,SECURELIFE INSURANCE PREMIUM ECS,2450.00,,-8203.94
2026-01-07,CAFE COFFEE DAY,906.25,,-9110.19
2026-01-08,FIRSTBANK AUTO LOAN EMI 55212,8500.00,,-17610.19
2026-01-09,PEAK FITNESS GYM MEMBERSHIP,1500.00,,-19110.19
2026-01-10,OLA CABS TRIP,1328.60,,-20438.79
2026-01-11,STATE POWER + WATER UTILITY BILL,2285.00,,-22723.79
2026-01-12,APNA KIRANA SUPERMARKET,1466.69,,-24190.48
2026-01-12,INDIAN OIL PETROL PUMP,778.10,,-24968.58
2026-01-13,INDIAN OIL PETROL PUMP,377.60,,-25346.18
2026-01-14,NETFLIX.COM SUBSCRIPTION,649.00,,-25995.18
2026-01-15,SWIGGY ORDER,985.85,,-26981.03
2026-01-16,BIG BAZAAR RETAIL,713.30,,-27694.33
2026-01-17,CLOUDVAULT STORAGE PLUS,199.00,,-27893.33
2026-01-18,ZOMATO ORDER,1186.30,,-29079.63
2026-01-19,APNA KIRANA SUPERMARKET,2055.59,,-31135.22
2026-01-19,AMAZON IN MKTP,126.30,,-31261.52
2026-01-20,QX7 TRADING 99231,540.75,,-31802.27
2026-01-21,DROPBOX PLUS MONTHLY BILLING,399.00,,-32201.27
2026-01-22,CAFE COFFEE DAY,718.30,,-32919.57
2026-01-23,ADOBE CREATIVE CLOUD,1675.00,,-34594.57
2026-01-24,BIG BAZAAR RETAIL,380.10,,-34974.67
2026-01-25,TRANSFER TO OWN SAVINGS ACCOUNT,3000.00,,-37974.67
2026-01-25,TRANSFER FROM CURRENT ACCOUNT,,3000.00,-34974.67
2026-01-26,APNA KIRANA SUPERMARKET,3117.32,,-38091.99
2026-01-26,INDIAN OIL PETROL PUMP,1235.90,,-39327.89
2026-01-27,BIG BAZAAR RETAIL,258.45,,-39586.34
2026-01-28,ACME ANALYTICS PAYROLL NEFT CREDIT,,65000.00,25413.66
2026-02-02,UBER TRIP,1172.60,,24241.06
2026-02-03,GREENFIELD RESIDENCY RENT NEFT,18000.00,,6241.06
2026-02-04,APNA KIRANA SUPERMARKET,2730.67,,3510.39
2026-02-04,CAFE COFFEE DAY,705.25,,2805.14
2026-02-05,INDIAN OIL PETROL PUMP,287.90,,2517.24
2026-02-06,SECURELIFE INSURANCE PREMIUM ECS,2450.00,,67.24
2026-02-07,UBER TRIP,497.75,,-430.51
2026-02-08,FIRSTBANK AUTO LOAN EMI 55212,8500.00,,-8930.51
2026-02-09,PEAK FITNESS GYM MEMBERSHIP,1500.00,,-10430.51
2026-02-10,ZOMATO ORDER,752.60,,-11183.11
2026-02-11,STATE POWER + WATER UTILITY BILL,1809.00,,-12992.11
2026-02-12,APNA KIRANA SUPERMARKET,1755.56,,-14747.67
