SYNTHETIC DEMO DATA - NOT A REAL BANK STATEMENT

Transaction Date,Narration,Debit,Credit,Balance
2026-01-02,THE DAILY GRIND CAFE,26.10,,2549.59
2026-01-03,GREENFIELD PROPERTIES RENT,1450.00,,1099.59
2026-01-04,CORNER SUPERMARKET,81.17,,1018.42
2026-01-04,UBER TRIP,21.99,,996.43
2026-01-05,PIZZA PLACE #221,54.90,,941.53
2026-01-06,SECURELIFE INSURANCE PREMIUM,128.00,,813.53
2026-01-07,PIZZA PLACE #221,42.25,,771.28
2026-01-08,FIRSTBANK AUTO LOAN EMI 55212,312.40,,458.88
2026-01-09,PEAK FITNESS GYM MEMBERSHIP,49.00,,409.88
2026-01-10,UBER TRIP,55.60,,354.28
2026-01-11,CITY POWER + WATER UTILITY BILL,90.00,,264.28
2026-01-12,CORNER SUPERMARKET,42.69,,221.59
2026-01-12,AMZN MKTP US*2K4LP,38.10,,183.49
2026-01-13,AMZN MKTP US*2K4LP,77.30,,106.19
2026-01-14,NETFLIX.COM SUBSCRIPTION,15.99,,90.20
2026-01-15,UBER TRIP,18.85,,71.35
2026-01-16,AMZN MKTP US*2K4LP,77.99,,-6.64
2026-01-17,CLOUDVAULT STORAGE PLUS,9.99,,-16.63
2026-01-18,UBER TRIP,26.25,,-42.88
2026-01-19,CORNER SUPERMARKET,60.59,,-103.47
2026-01-19,THE DAILY GRIND CAFE,46.10,,-149.57
2026-01-20,QX7 TRADING 99231,18.75,,-168.32
2026-01-21,DROPBOX PLUS ANNUALBILL MONTHLY,11.99,,-180.31
2026-01-22,THE DAILY GRIND CAFE,33.60,,-213.91
2026-01-23,ADOBE CREATIVE CLOUD,22.99,,-236.90
2026-01-24,THE DAILY GRIND CAFE,57.99,,-294.89
2026-01-25,TRANSFER TO OWN SAVINGS ACCOUNT,200.00,,-494.89
2026-01-25,TRANSFER FROM CURRENT ACCOUNT,,200.00,-294.89
2026-01-26,CORNER SUPERMARKET,94.32,,-389.21
2026-01-26,THE DAILY GRIND CAFE,20.85,,-410.06
2026-01-27,NORTHGATE RETAIL PARK,51.25,,-461.31
2026-01-28,ACME ANALYTICS PAYROLL DIRECT DEPOSIT,,3200.00,2738.69
2026-02-02,SHELL FUEL,77.99,,2660.70
2026-02-03,GREENFIELD PROPERTIES RENT,1450.00,,1210.70
2026-02-04,CORNER SUPERMARKET,43.80,,1166.90
2026-02-04,UBER TRIP,30.60,,1136.30
2026-02-05,STARBUCKS COFFEE,45.25,,1091.05
2026-02-06,SECURELIFE INSURANCE PREMIUM,128.00,,963.05
2026-02-07,NORTHGATE RETAIL PARK,38.30,,924.75
2026-02-08,FIRSTBANK AUTO LOAN EMI 55212,312.40,,612.35
2026-02-09,PEAK FITNESS GYM MEMBERSHIP,49.00,,563.35
2026-02-10,SHELL FUEL,67.25,,496.10
2026-02-11,CITY POWER + WATER UTILITY BILL,88.00,,408.10
2026-02-12,CORNER SUPERMARKET,75.19,,332.91
2026-02-12,UBER TRIP,73.60,,259.31
2026-02-13,AMZN MKTP US*2K4LP,71.99,,187.32
2026-02-14,NETFLIX.COM SUBSCRIPTION,15.99,,171.33
2026-02-15,UBER TRIP,48.90,,122.43
2026-02-15,ATM CASH WITHDRAWAL,100.00,,22.43
2026-02-16,UBER EATS DELIVERY,46.25,,-23.82
2026-02-17,CLOUDVAULT STORAGE PLUS,9.99,,-33.81
2026-02-18,NORTHGATE RETAIL PARK,38.85,,-72.66
2026-02-19,CORNER SUPERMARKET,70.60,,-143.26
2026-02-19,AMZN MKTP US*2K4LP,72.90,,-216.16
2026-02-20,QX7 TRADING 99231,18.75,,-234.91
2026-02-21,DROPBOX PLUS ANNUALBILL MONTHLY,11.99,,-246.90
