SYNTHETIC DEMO DATA - NOT A REAL BANK STATEMENT

Transaction Date,Narration,Debit,Credit,Balance
2026-01-03,HOUSING SOCIETY MONTHLY RENT TRANSFER,22000.00,,-39134.60
2026-01-04,STAR BAZAR SUPERMARKET,2228.13,,-41362.73
2026-01-05,HDFC BANK EDUCATION LOAN EMI,11500.00,,-52862.73
2026-01-07,LIC OF INDIA PREMIUM AUTOPAY,3500.00,,-56362.73
2026-01-09,MSEDCL ELECTRICITY BILL PAYMENT,3254.00,,-59616.73
2026-01-10,BLUE TOKAI COFFEE ROASTERS,185.50,,-59802.23
2026-01-11,STAR BAZAR SUPERMARKET,2563.41,,-62365.64
2026-01-12,UBER INDIA RIDE,320.20,,-62685.84
2026-01-15,NETFLIX ENTERTAINMENT,649.00,,-63334.84
2026-01-16,INDEPENDENT BOOKSTORE,420.40,,-63755.24
2026-01-18,STAR BAZAR SUPERMARKET,2457.27,,-66212.51
2026-01-20,PHARMACY MEDICAL PURCHASE,380.10,,-66592.61
2026-01-22,SWIGGY DELIVERY FOOD,510.80,,-67103.41
2026-01-25,STAR BAZAR SUPERMARKET,2209.96,,-69313.37
2026-01-27,JIO INFOCOMM RECHARGE,299.00,,-69612.37
2026-01-28,TATA CONSULTANCY SERVICES PAYROLL,,75000.00,5387.63
2026-02-03,HOUSING SOCIETY MONTHLY RENT TRANSFER,22000.00,,-16612.37
2026-02-04,STAR BAZAR SUPERMARKET,2178.85,,-18791.22
2026-02-05,HDFC BANK EDUCATION LOAN EMI,11500.00,,-30291.22
2026-02-07,LIC OF INDIA PREMIUM AUTOPAY,3500.00,,-33791.22
2026-02-09,MSEDCL ELECTRICITY BILL PAYMENT,3158.00,,-36949.22
2026-02-10,BLUE TOKAI COFFEE ROASTERS,185.50,,-37134.72
2026-02-11,STAR BAZAR SUPERMARKET,2864.14,,-39998.86
2026-02-12,UBER INDIA RIDE,320.20,,-40319.06
2026-02-15,NETFLIX ENTERTAINMENT,649.00,,-40968.06
2026-02-16,INDEPENDENT BOOKSTORE,420.40,,-41388.46
2026-02-18,STAR BAZAR SUPERMARKET,2061.21,,-43449.67
2026-02-20,PHARMACY MEDICAL PURCHASE,380.10,,-43829.77
2026-02-22,SWIGGY DELIVERY FOOD,510.80,,-44340.57
2026-02-25,STAR BAZAR SUPERMARKET,2447.39,,-46787.96
2026-02-27,JIO INFOCOMM RECHARGE,299.00,,-47086.96
2026-02-28,TATA CONSULTANCY SERVICES PAYROLL,,75000.00,27913.04
2026-03-03,HOUSING SOCIETY MONTHLY RENT TRANSFER,22000.00,,5913.04
2026-03-04,STAR BAZAR SUPERMARKET,2054.81,,3858.23
2026-03-05,HDFC BANK EDUCATION LOAN EMI,11500.00,,-7641.77
2026-03-07,LIC OF INDIA PREMIUM AUTOPAY,3500.00,,-11141.77
2026-03-09,MSEDCL ELECTRICITY BILL PAYMENT,3117.00,,-14258.77
2026-03-10,BLUE TOKAI COFFEE ROASTERS,185.50,,-14444.27
2026-03-11,STAR BAZAR SUPERMARKET,2407.93,,-16852.20
2026-03-12,UBER INDIA RIDE,320.20,,-17172.40
2026-03-15,NETFLIX ENTERTAINMENT,649.00,,-17821.40
2026-03-16,INDEPENDENT BOOKSTORE,420.40,,-18241.80
2026-03-18,STAR BAZAR SUPERMARKET,3116.63,,-21358.43
2026-03-20,PHARMACY MEDICAL PURCHASE,380.10,,-21738.53
2026-03-22,SWIGGY DELIVERY FOOD,510.80,,-22249.33
2026-03-25,STAR BAZAR SUPERMARKET,2451.67,,-24701.00
2026-03-27,JIO INFOCOMM RECHARGE,299.00,,-25000.00
2026-03-28,TATA CONSULTANCY SERVICES PAYROLL,,75000.00,50000.00
